## Discrepancies between the AtomDB (v3.0.9) and SPEXACT (v3.0.5) CIE plasma models
##   (As supplementary material of Mernier, F., Werner, N., Lakhchaura, K. et al., 2019, Astron. Nachr.)
## -----
## 
## 
## Using the XMM-Newton EPIC (either MOS1,2 or pn) responses, single-temperature models were simulated with 'cie' (SPEX) over a grid of input temperatures and abundances, then refitted with 'vapec' (XSPEC).
## The tables below show the observed discrepancy for a given best-fit parameter at each input temperature and abundance value (see Mernier et al. 2019, Astron. Nachr. for more details).
## 
## First row: Input temperature
## First column: Input abundance (all tied to Fe)
## Other numbers: (param_vapec - param_cie) / param_cie     [in percent]
## 
## The layout is the same as in Fig. 1 of Mernier et al. (2019, Astron. Nachr.)
## 
## 
## For questions, please contact: francois.mernier@esa.int





########## XMM-Newton: EPIC MOS ##########
##########################################



##### kT #####

		0.5 	0.6 	0.7 	0.8 	0.9 	1.0 	1.1 	1.2 	1.3 	1.4 	1.6 	1.8 	2.0 	2.2 	2.4 	2.6 	2.8 	3.0 	3.2 	3.4 	3.6 	3.8 	4.0 	4.5 	5.0 	5.5 	6.0 	7.0 	8.0 	9.0 	10.0	

1.5		15.40	10.37	8.27	6.84	6.39	5.25	5.16	6.74	3.94	6.54	5.14	5.91	4.84	4.57	4.89	3.58	4.12	4.27	3.60	3.10	3.64	3.64	3.17	2.85	2.56	1.44	2.09	0.62	1.05	0.42	0.85	
1.4		15.39	10.35	8.26	6.83	6.39	5.24	5.14	6.72	3.93	6.48	5.11	5.81	4.78	4.47	4.79	3.52	4.02	4.17	3.53	3.02	3.57	3.58	3.11	2.79	2.53	1.43	2.06	0.63	1.05	0.47	0.88	
1.3		15.37	10.34	8.25	6.82	6.38	5.23	5.12	6.70	3.92	6.41	5.08	5.68	4.72	4.35	4.67	3.46	3.91	4.07	3.46	2.94	3.48	3.48	3.05	2.73	2.48	1.42	2.03	0.64	1.03	0.53	0.90	
1.2		15.34	10.33	8.25	6.81	6.37	5.22	5.10	6.68	3.91	6.32	5.05	5.55	4.64	4.21	4.55	3.39	3.79	3.96	3.36	2.86	3.38	3.40	2.99	2.67	2.43	1.38	2.00	0.65	1.03	0.54	0.93	
1.1		15.30	10.30	8.23	6.80	6.36	5.21	5.07	6.66	3.89	6.22	5.01	5.40	4.56	4.05	4.41	3.31	3.66	3.83	3.27	2.75	3.29	3.31	2.91	2.60	2.38	1.35	1.96	0.67	1.03	0.59	0.95	
1.0		15.27	10.29	8.22	6.79	6.34	5.19	5.04	6.62	3.88	6.11	4.96	5.22	4.46	3.89	4.25	3.22	3.50	3.68	3.16	2.65	3.17	3.21	2.82	2.52	2.31	1.31	1.93	0.68	1.04	0.64	0.96	
0.9		15.22	10.26	8.20	6.78	6.33	5.18	5.00	6.59	3.86	5.97	4.90	5.00	4.34	3.71	4.06	3.11	3.34	3.54	3.05	2.52	3.04	3.09	2.72	2.43	2.24	1.28	1.88	0.70	1.04	0.71	1.02	
0.8		15.16	10.21	8.18	6.75	6.31	5.16	4.95	6.54	3.84	5.80	4.83	4.75	4.19	3.50	3.86	2.98	3.15	3.35	2.91	2.39	2.90	2.95	2.61	2.35	2.17	1.24	1.82	0.73	1.06	0.75	1.05	
